slug,和名,検索学名,実際の学名,観察ID,撮影者,ライセンス,画像URL
white-lipped-mud-turtle,シロクチドロガメ,Kinosternon leucostomum,Kinosternon leucostomum,25908101,fresa_diving_caves,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/40181456/large.jpeg
striped-mud-turtle,ミスジドロガメ,Kinosternon baurii,Kinosternon baurii,1967042,muir,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/12908472/large.jpeg
yellow-mud-turtle,キイロドロガメ,Kinosternon flavescens,Kinosternon flavescens,87296806,fishesoftexas,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/143902751/large.jpeg
herrera-mud-turtle,ハーレラドロガメ,Kinosternon herrerai,Kinosternon herrerai,329002965,ivancumpian,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/596293707/large.jpg
mexican-mud-turtle,サラドロガメ,Kinosternon integrum,Kinosternon integrum,41102692,alexmor,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/65174691/large.jpg
red-cheeked-mud-turtle,ホオアカドロガメ,Kinosternon cruentatum,Kinosternon cruentatum,69624645,sebastian_hb,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/113012296/large.jpeg
eastern-mud-turtle,トウブドロガメ,Kinosternon subrubrum subrubrum,Kinosternon subrubrum subrubrum,9986498,joshl,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/13726149/large.jpg
florida-mud-turtle,フロリダドロガメ,Kinosternon steindachneri,Kinosternon steindachneri,89981872,calzones,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/148650865/large.jpg
mississippi-mud-turtle,ミシシッピドロガメ,Kinosternon subrubrum hippocrepis,Kinosternon subrubrum hippocrepis,126469342,hr_dragonfly,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/214587834/large.jpg
west-african-mud-turtle,ニシアフリカドロガメ,Pelusios castaneus,Pelusios castaneus,148640915,m_burger,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/256008299/large.jpg
eastern-box-turtle,トウブハコガメ,Terrapene carolina carolina,Terrapene carolina carolina,12051904,mellis,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/17279347/large.jpg
florida-box-turtle,フロリダハコガメ,Terrapene carolina bauri,Terrapene carolina bauri,68357318,chloyote,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/110662725/large.jpg
gulf-coast-box-turtle,ガルフコーストハコガメ,Terrapene carolina major,Terrapene carolina major,62710600,evangrimes,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/100523357/large.jpg
